customer_key,customer_number,customer_name,age,customer_segment,last_order_date,recency,total_orders,total_sales,Avg_order_value,Avg_monthly_spends,total_quantity,total_products,lifespan
36,AW00011035,Wendy Dominguez,73,VIP,2013-11-15,149,3,6451,2150,2150,5,5,33
37,AW00011036,Jennifer Russell,42,NEW,2013-01-22,159,1,2355,2355,2355,2,2,0
38,AW00011037,Chloe Garcia,43,NEW,2013-01-20,159,1,2374,2374,2374,7,7,0
39,AW00011038,Diana Hernandez,73,VIP,2013-11-12,149,3,6437,2145,2145,3,3,33
40,AW00011039,Marc Martin,72,VIP,2013-11-11,149,3,6636,2212,2212,9,8,33
41,AW00011040,Jesse Murphy,43,NEW,2013-04-03,156,1,2351,2351,2351,3,3,0
42,AW00011041,Amanda Carter,43,NEW,2013-01-14,159,1,2381,2381,2381,3,3,0
43,AW00011042,Megan Sanchez,44,NEW,2013-10-17,150,2,3112,1556,1556,3,3,9
44,AW00011043,Nathan Simmons,45,NEW,2013-08-18,152,2,48,24,24,3,3,3
45,AW00011044,Adam Flores,72,VIP,2013-11-08,149,3,6515,2171,2171,7,7,33
46,AW00011045,Leonard Nara,71,NEW,2013-10-29,150,2,115,57,57,4,4,6
47,AW00011046,Christine Yuan,71,VIP,2013-11-12,149,3,6616,2205,2205,6,6,33
48,AW00011047,Jaclyn Lu,71,VIP,2013-11-19,149,3,6582,2194,2194,4,4,33
49,AW00011048,Jeremy Powell,70,VIP,2013-12-25,148,3,6498,2166,2166,8,8,34
50,AW00011049,Carol Rai,40,NEW,2013-10-29,150,2,81,40,40,5,5,7
51,AW00011050,Alan Zheng,69,VIP,2013-11-19,149,3,5007,1669,1669,6,6,33
52,AW00011051,Daniel Johnson,69,NEW,2014-01-01,147,2,124,62,62,5,5,1
53,AW00011052,Heidi Lopez,69,VIP,2013-05-27,155,3,8131,2710,2710,7,7,27
54,AW00011053,Ana Price,40,NEW,2013-01-17,159,1,2330,2330,2330,2,2,0
55,AW00011054,Deanna Munoz,69,VIP,2013-05-30,155,3,8223,2741,2741,6,6,27
56,AW00011055,Gilbert Raje,69,VIP,2013-06-07,154,3,8168,2722,2722,8,8,29
57,AW00011056,Michele Nath,68,VIP,2013-05-31,155,3,8207,2735,2735,8,8,27
58,AW00011057,Carl Andersen,56,VIP,2013-05-21,155,3,8088,2696,2696,4,4,27
59,AW00011058,Marc Diaz,61,VIP,2013-06-04,154,3,8248,2749,2749,6,6,27
60,AW00011059,Ashlee Andersen,67,NEW,2013-03-16,157,3,117,39,39,7,6,1
61,AW00011060,Jon Zhou,67,VIP,2013-06-25,154,3,8153,2717,2717,6,6,27
62,AW00011061,Todd Gao,50,VIP,2013-06-14,154,3,8129,2709,2709,6,6,27
63,AW00011062,Noah Powell,45,NEW,2013-01-07,159,1,2352,2352,2352,3,3,0
64,AW00011063,Angela Murphy,46,NEW,2013-01-12,159,1,2373,2373,2373,5,5,0
65,AW00011064,Chase Reed,45,NEW,2013-01-25,159,1,2305,2305,2305,2,2,0
66,AW00011065,Jessica Henderson,47,NEW,2014-01-10,147,2,202,101,101,5,4,11
67,AW00011066,Grace Butler,47,NEW,2013-09-19,151,2,81,40,40,5,5,4
68,AW00011067,Caleb Carter,44,NEW,2014-01-12,147,2,105,52,52,6,6,5
69,AW00011068,Tiffany Liang,60,NEW,2013-10-08,150,3,113,37,37,9,8,6
70,AW00011069,Carolyn Navarro,60,VIP,2013-06-04,154,3,8104,2701,2701,3,3,26
71,AW00011070,Willie Raji,66,VIP,2013-06-26,154,3,8165,2721,2721,10,9,26
72,AW00011071,Linda Serrano,66,NEW,2013-12-01,148,3,110,36,36,7,6,9
73,AW00011072,Casey Luo,66,VIP,2013-06-15,154,3,8194,2731,2731,7,7,27
74,AW00011073,Amy Ye,64,NEW,2013-08-21,152,3,192,64,64,10,9,5
75,AW00011074,Levi Arun,64,NEW,2013-05-27,155,3,94,31,31,7,7,2
76,AW00011075,Felicia Jimenez,63,VIP,2013-06-24,154,3,8068,2689,2689,5,5,26
77,AW00011076,Blake Anderson,63,VIP,2013-06-21,154,3,8159,2719,2719,4,4,26
78,AW00011077,Leah Ye,63,VIP,2013-06-12,154,3,8169,2723,2723,5,5,26
79,AW00011078,Gina Martin,41,NEW,2014-01-28,147,17,912,53,53,31,23,11
80,AW00011079,Donald Gonzalez,56,NEW,2014-01-01,147,3,58,19,19,5,5,10
81,AW00011080,Damien Chander,61,VIP,2013-06-23,154,3,8204,2734,2734,7,7,26
82,AW00011081,Savannah Baker,54,NEW,2013-04-13,156,2,104,52,52,5,5,2
83,AW00011082,Angela Butler,54,NEW,2013-11-06,149,2,3110,1555,1555,6,6,10
84,AW00011083,Alyssa Cox,49,NEW,2013-11-08,149,2,3137,1568,1568,5,5,10
85,AW00011084,Lucas Phillips,63,NEW,2013-11-21,149,2,3078,1539,1539,5,5,10
86,AW00011085,Emily Johnson,63,NEW,2014-01-08,147,2,129,64,64,5,5,1
87,AW00011086,Ryan Brown,63,NEW,2013-12-21,148,2,153,76,76,6,6,5
88,AW00011087,Tamara Liang,63,NEW,2013-08-09,152,2,200,100,100,4,4,6
89,AW00011088,Hunter Davis,63,NEW,2013-11-12,149,2,3176,1588,1588,7,7,10
90,AW00011089,Abigail Price,64,NEW,2013-11-18,149,2,3188,1594,1594,7,7,11
91,AW00011090,Trevor Bryant,58,VIP,2013-11-21,149,3,6703,2234,2234,6,6,27
92,AW00011091,Dalton Perez,64,REGULAR,2014-01-08,147,28,1186,42,42,59,25,12
93,AW00011092,Cheryl Diaz,54,VIP,2013-06-21,154,3,8110,2703,2703,5,5,26
94,AW00011093,Aimee He,48,VIP,2013-06-08,154,3,8180,2726,2726,7,7,26
95,AW00011094,Cedric Ma,59,NEW,2014-01-11,147,3,236,78,78,8,8,9
96,AW00011095,Chad Kumar,58,VIP,2013-06-25,154,3,8158,2719,2719,7,7,26
97,AW00011096,AndrÔö£┬«s Anand,58,VIP,2013-07-30,153,3,8063,2687,2687,4,4,27
98,AW00011097,Edwin Nara,54,VIP,2013-07-24,153,3,8099,2699,2699,5,5,27
99,AW00011098,Mallory Rubio,60,NEW,2013-10-16,150,3,89,29,29,4,4,8
100,AW00011099,Adam Ross,60,VIP,2013-07-01,153,3,8216,2738,2738,9,8,27
101,AW00011100,Latasha Navarro,60,VIP,2013-08-07,152,3,8172,2724,2724,7,7,28
102,AW00011101,Abby Sai,56,VIP,2013-06-29,154,3,8262,2754,2754,7,7,26
103,AW00011102,Julia Nelson,56,NEW,2013-12-09,148,3,103,34,34,5,5,5
104,AW00011103,Cassie Chande,45,VIP,2013-06-06,154,3,8182,2727,2727,8,8,26
105,AW00011104,Edgar Sara,51,VIP,2013-06-15,154,3,8173,2724,2724,6,6,25
106,AW00011105,Candace Fernandez,56,VIP,2013-06-05,154,3,8096,2698,2698,5,5,25
107,AW00011106,Jessie Liu,56,VIP,2013-06-15,154,3,8079,2693,2693,3,3,25
108,AW00011107,Bianca Lin,50,VIP,2013-06-21,154,3,8171,2723,2723,6,6,25
109,AW00011108,Kari Alvarez,57,VIP,2013-06-23,154,3,8124,2708,2708,5,5,25
110,AW00011109,Ruben Kapoor,46,VIP,2013-06-24,154,3,8245,2748,2748,8,8,25
111,AW00011110,Curtis Yang,59,VIP,2013-08-20,152,3,8093,2697,2697,5,5,27
112,AW00011111,Meredith Gutierrez,59,VIP,2013-08-22,152,3,8137,2712,2712,8,8,27
113,AW00011112,Crystal Wang,58,VIP,2013-09-02,151,3,8295,2765,2765,6,6,28
114,AW00011113,Micheal Blanco,53,NEW,2013-04-21,156,3,110,36,36,7,7,2
115,AW00011114,Leslie Moreno,59,NEW,2013-12-26,148,3,123,41,41,7,6,9
116,AW00011115,Alvin Cai,59,NEW,2014-01-02,147,3,114,38,38,6,6,11
117,AW00011116,Clinton Carlson,47,NEW,2013-10-16,150,3,149,49,49,7,7,7
118,AW00011117,April Deng,60,VIP,2013-06-25,154,3,8185,2728,2728,8,8,25
119,AW00011118,Alvin Zeng,64,NEW,2014-01-26,147,3,124,41,41,8,6,6
120,AW00011119,Evan James,86,NEW,2013-11-23,149,2,85,42,42,4,4,9
121,AW00011120,Beth JimÔö£┬«nez,84,VIP,2013-09-19,151,3,8242,2747,2747,10,10,28
122,AW00011121,Orlando Suarez,60,NEW,2013-11-04,149,3,58,19,19,6,5,5
123,AW00011122,Byron Vazquez,61,NEW,2013-08-22,152,3,43,14,14,3,3,6
124,AW00011123,Philip Alvarez,61,NEW,2014-01-25,147,3,150,50,50,8,7,9
125,AW00011124,Ross Jordan,58,VIP,2013-06-18,154,3,8129,2709,2709,6,6,25
126,AW00011125,Dana Navarro,65,NEW,2013-07-03,153,3,79,26,26,7,7,6
127,AW00011126,Shaun Carson,72,REGULAR,2013-11-03,149,3,4971,1657,1657,8,7,30
128,AW00011127,Jan Edwards,45,NEW,2013-10-01,150,2,44,22,22,3,3,6
129,AW00011128,Samantha Long,45,NEW,2013-08-12,152,2,144,72,72,7,7,2
130,AW00011129,Julia Wright,45,VIP,2013-01-09,159,2,5873,2936,2936,2,2,17
131,AW00011130,Caroline Russell,41,NEW,2013-12-09,148,1,37,37,37,2,2,0
132,AW00011131,Amanda Rivera,41,NEW,2014-01-23,147,5,166,33,33,9,9,3
133,AW00011132,Melissa Richardson,40,NEW,2013-04-09,156,1,2372,2372,2372,6,6,0
134,AW00011133,Angela Griffin,40,NEW,2013-12-30,148,1,72,72,72,4,4,0
135,AW00011134,Larry Townsend,69,REGULAR,2013-11-03,149,3,4911,1637,1637,3,3,30
136,AW00011135,Marcus Harris,41,NEW,2013-04-18,156,1,2335,2335,2335,3,3,0
137,AW00011136,Brianna Morgan,42,NEW,2013-01-03,159,1,2381,2381,2381,3,3,0
138,AW00011137,Jasmine Taylor,42,NEW,2014-01-20,147,2,202,101,101,5,4,6
139,AW00011138,Lauren Davis,42,NEW,2013-12-31,148,2,79,39,39,4,4,3
140,AW00011139,Tanya Moreno,77,NEW,2013-10-17,150,2,84,42,42,3,3,1
141,AW00011140,Javier Alvarez,44,NEW,2013-03-19,157,1,40,40,40,2,2,0
142,AW00011141,Nicole Ramirez,44,NEW,2013-09-28,151,2,114,57,57,5,5,4
143,AW00011142,Eduardo Patterson,43,NEW,2014-01-13,147,17,979,57,57,36,23,11
144,AW00011143,Jonathan Henderson,44,NEW,2013-12-19,148,2,48,24,24,5,4,6
145,AW00011144,Edward Hernandez,41,NEW,2013-01-25,159,1,2400,2400,2400,3,3,0
146,AW00011145,Jasmine Coleman,41,NEW,2013-01-25,159,1,2310,2310,2310,3,3,0
147,AW00011146,Karla Goel,81,NEW,2013-09-15,151,3,113,37,37,7,6,7
148,AW00011147,Ernest Wu,82,VIP,2013-10-16,150,3,8195,2731,2731,7,7,29
149,AW00011148,Ross Vazquez,79,NEW,2013-12-03,148,3,126,42,42,6,5,9
150,AW00011149,Theodore Gill,80,NEW,2013-11-29,149,3,41,13,13,4,4,5
151,AW00011150,Russell Shen,80,NEW,2013-07-15,153,3,192,64,64,8,7,4
152,AW00011151,Melinda Gill,79,VIP,2013-10-20,150,3,8087,2695,2695,6,6,29
153,AW00011152,James Williams,45,NEW,2013-01-09,159,1,2295,2295,2295,1,1,0
154,AW00011153,Angela James,45,NEW,2013-03-29,157,2,110,55,110,5,5,0
155,AW00011154,Megan Walker,44,NEW,2013-01-10,159,1,2320,2320,2320,1,1,0
156,AW00011155,Hunter Robinson,45,NEW,2013-01-06,159,1,2320,2320,2320,1,1,0
157,AW00011156,Maria Roberts,45,NEW,2013-01-08,159,1,2390,2390,2390,4,4,0
158,AW00011157,Hannah Long,46,NEW,2013-09-11,151,2,41,20,20,3,3,2
159,AW00011158,Jason Wright,45,NEW,2013-01-19,159,1,2396,2396,2396,3,3,0
160,AW00011159,Brianna Hughes,45,NEW,2013-11-07,149,2,48,24,24,5,4,2
161,AW00011160,Maurice Tang,47,NEW,2013-02-21,158,1,2322,2322,2322,2,2,0
162,AW00011161,Emily Wood,47,NEW,2013-11-11,149,2,94,47,47,6,6,5
163,AW00011162,Chase Cox,47,NEW,2013-02-18,158,1,2330,2330,2330,2,2,0
164,AW00011163,Gabriel Wang,46,NEW,2013-08-05,152,2,46,23,23,4,4,3
165,AW00011164,Devin Brooks,47,NEW,2013-08-05,152,2,145,72,72,6,6,4
166,AW00011165,Jocelyn Alexander,47,NEW,2013-06-05,154,2,103,51,51,3,3,1
167,AW00011166,Ashley Martinez,49,NEW,2013-12-06,148,2,88,44,44,5,5,2
168,AW00011167,Jasmine Barnes,48,NEW,2013-11-28,149,2,3126,1563,1563,4,4,10
169,AW00011168,David Rodriguez,53,NEW,2013-11-16,149,2,3136,1568,1568,7,7,10
170,AW00011169,Bryce Richardson,53,NEW,2013-09-24,151,2,81,40,40,5,5,4
171,AW00011170,Carol Howard,53,NEW,2013-12-29,148,2,157,78,78,7,7,4
172,AW00011171,Jonathan Hill,48,VIP,2013-11-07,149,3,6716,2238,2238,8,8,27
173,AW00011172,Gabrielle Adams,53,NEW,2014-01-11,147,2,129,64,64,7,6,8
174,AW00011173,Sarah Thomas,53,NEW,2013-12-24,148,2,103,51,51,3,3,9
175,AW00011174,Nicholas Robinson,53,NEW,2013-07-25,153,2,48,24,48,5,4,0
176,AW00011175,Luis Wang,58,VIP,2013-11-03,149,3,6710,2236,2236,8,8,27
177,AW00011176,Mason Roberts,47,NEW,2014-01-27,147,28,1317,47,47,60,27,11
178,AW00011177,Jose Flores,78,NEW,2013-10-14,150,2,135,67,67,6,6,7
179,AW00011178,Nathan Johnson,72,NEW,2013-05-26,155,2,145,72,72,6,6,3
180,AW00011179,Molly Rodriguez,67,NEW,2014-01-09,147,2,125,62,62,6,6,10
181,AW00011180,April Anand,78,NEW,2013-09-25,151,2,138,69,69,6,6,6
182,AW00011181,Devin Martin,66,NEW,2013-07-11,153,2,41,20,20,3,3,2
183,AW00011182,Stephanie Torres,76,NEW,2014-01-05,147,2,81,40,40,5,5,5
184,AW00011183,Jasmine Lee,76,NEW,2013-06-13,154,2,46,23,23,4,4,2
185,AW00011184,Meghan Hernandez,71,NEW,2013-10-09,150,2,68,34,34,5,5,2
186,AW00011185,Ashley Henderson,76,NEW,2014-01-26,147,27,1616,59,59,68,29,11
187,AW00011186,Sarah Price,77,NEW,2014-01-07,147,2,41,20,20,3,3,3
188,AW00011187,Jennifer Cooper,77,NEW,2013-08-06,152,2,108,54,54,4,4,4
189,AW00011188,Catherine Morris,76,NEW,2014-01-21,147,2,81,40,40,5,5,2
190,AW00011189,Lawrence Blanco,76,VIP,2013-02-05,158,2,5944,2972,2972,6,6,18
191,AW00011190,Carson Bryant,77,NEW,2014-01-16,147,2,46,23,23,4,4,5
192,AW00011191,Kristi Perez,75,VIP,2013-11-06,149,3,6743,2247,2247,7,7,27
193,AW00011192,James Brown,75,NEW,2013-09-25,151,2,114,57,57,5,5,3
194,AW00011193,Ian Gray,76,NEW,2013-08-18,152,2,41,20,20,3,3,6
195,AW00011194,Jacqueline Price,76,NEW,2013-12-08,148,2,105,52,52,6,6,9
196,AW00011195,Megan Henderson,75,NEW,2013-10-22,150,2,105,52,52,6,6,6
197,AW00011196,Alfredo Romero,75,NEW,2013-09-24,151,2,162,81,81,4,4,6
198,AW00011197,Andrea Morris,75,NEW,2013-07-20,153,2,207,103,103,6,5,2
199,AW00011198,Brooke Sanders,74,NEW,2013-02-13,158,2,98,49,98,4,4,0
200,AW00011199,Jacqueline Bennett,69,NEW,2013-10-17,150,2,132,66,66,6,6,7
201,AW00011200,Jason Griffin,73,NEW,2014-01-20,147,27,1461,54,54,55,26,11
202,AW00011201,Amanda Foster,73,NEW,2013-09-09,151,2,181,90,90,6,6,2
203,AW00011202,Alexia Price,68,NEW,2013-09-21,151,2,74,37,74,3,3,0
204,AW00011203,Luis Diaz,67,NEW,2013-12-11,148,17,800,47,47,32,19,10
205,AW00011204,Destiny Rivera,73,NEW,2013-11-10,149,2,77,38,38,4,4,3
206,AW00011205,Abby Fernandez,72,NEW,2013-10-08,150,2,37,18,18,2,2,3
207,AW00011206,Blake Flores,72,NEW,2013-05-30,155,2,77,38,77,4,4,0
208,AW00011207,Danielle Cox,72,NEW,2013-10-18,150,2,77,38,38,4,4,9
209,AW00011208,Maria Reed,73,NEW,2013-09-17,151,2,134,67,67,7,7,6
210,AW00011209,Allison Evans,73,NEW,2014-01-22,147,2,37,18,18,2,2,10
211,AW00011210,Edward Wood,73,NEW,2013-09-06,151,2,70,35,35,5,5,4
212,AW00011211,Samantha Russell,66,NEW,2014-01-07,147,17,792,46,46,33,22,11
213,AW00011212,Chloe Campbell,71,REGULAR,2014-01-17,147,17,824,48,48,33,20,12
214,AW00011213,Stephanie Murphy,72,NEW,2013-09-09,151,2,77,38,38,4,4,6
215,AW00011214,Charles Miller,71,NEW,2013-11-19,149,2,162,81,81,4,4,3
216,AW00011215,Ana Perry,65,NEW,2013-12-15,148,17,1154,67,67,32,21,10
217,AW00011216,Jasmine Torres,71,VIP,2013-02-05,158,2,5948,2974,2974,5,5,18
218,AW00011217,Natalie Adams,71,VIP,2013-02-14,158,2,5953,2976,2976,3,3,18
219,AW00011218,Olivia Brown,65,NEW,2014-01-04,147,2,39,19,19,3,2,11
220,AW00011219,Charles Cook,70,NEW,2014-01-24,147,2,39,19,19,3,2,3
221,AW00011220,Erica Huang,65,NEW,2013-12-13,148,2,50,25,25,4,4,9
222,AW00011221,Nathan Perry,71,NEW,2013-10-17,150,2,46,23,23,4,4,6
223,AW00011222,Alexandra Rivera,70,NEW,2013-11-28,149,2,208,104,208,6,6,0
224,AW00011223,Hailey Patterson,69,REGULAR,2014-01-06,147,27,1293,47,47,65,26,12
225,AW00011224,Tiffany Li,69,VIP,2013-12-03,148,3,6685,2228,2228,5,5,28
226,AW00011225,Madison Lee,64,NEW,2013-09-06,151,2,73,36,36,5,5,3
227,AW00011226,Sydney Ross,64,NEW,2013-03-31,157,2,37,18,18,2,2,1
228,AW00011227,Marshall Chavez,64,VIP,2013-02-10,158,2,5910,2955,2955,5,5,18
229,AW00011228,Ashley Jones,70,NEW,2014-01-17,147,2,77,38,38,4,4,3
230,AW00011229,Adrian Stewart,69,NEW,2014-01-25,147,2,81,40,40,5,5,6
231,AW00011230,Amber Turner,70,NEW,2013-12-09,148,2,54,27,27,5,5,5
232,AW00011231,Dennis Zhang,63,NEW,2013-11-12,149,2,64,32,32,4,4,9
233,AW00011232,Hailey Bryant,68,NEW,2013-11-13,149,2,39,19,19,3,2,2
234,AW00011233,Todd Li,63,NEW,2013-06-08,154,2,179,89,89,7,7,4
235,AW00011234,Anna Griffin,68,NEW,2013-09-19,151,2,76,38,38,4,4,7
236,AW00011235,Angel Stewart,69,NEW,2014-01-05,147,2,138,69,69,6,5,6
237,AW00011236,Jeremy Butler,69,NEW,2014-01-06,147,2,114,57,57,5,5,3
238,AW00011237,Clarence Anand,62,VIP,2013-11-25,149,4,10566,2641,2641,6,6,26
239,AW00011238,Mayra Prasad,62,VIP,2013-04-30,156,4,7543,1885,1885,9,9,27
240,AW00011239,Latoya Goel,57,VIP,2013-05-28,155,4,7511,1877,1877,11,11,28
241,AW00011240,Anne Hernandez,62,VIP,2013-05-13,155,4,7586,1896,1896,13,10,27
242,AW00011241,Lisa Cai,52,VIP,2013-10-29,150,7,11468,1638,1638,25,20,13
243,AW00011242,Larry Munoz,63,VIP,2013-12-04,148,7,11067,1581,1581,12,12,15
244,AW00011243,Robin Alvarez,63,VIP,2013-06-09,154,4,7164,1791,1791,12,10,28
245,AW00011244,Alexis Coleman,58,VIP,2013-07-19,153,4,7175,1793,1793,12,11,29
246,AW00011245,Ricky Vazquez,64,VIP,2013-12-11,148,4,10580,2645,2645,9,9,27
247,AW00011246,Latasha Rubio,64,VIP,2013-12-20,148,4,10575,2643,2643,7,7,26
248,AW00011247,Claudia Zhou,65,VIP,2013-08-17,152,4,7131,1782,1782,12,11,30
249,AW00011248,Tristan Alexander,60,NEW,2013-07-14,153,1,38,38,38,3,3,0
250,AW00011249,Cindy Patel,60,VIP,2013-09-15,151,4,9890,2472,2472,11,11,23
251,AW00011250,Shannon Liu,60,VIP,2013-08-06,152,4,7115,1778,1778,11,10,29
252,AW00011251,Xavier Long,88,NEW,2013-10-18,150,1,2319,2319,2319,4,4,0
253,AW00011252,Nicholas Thompson,89,VIP,2013-12-18,148,3,6685,2228,2228,7,7,28
254,AW00011253,JosÔö£┬« Hernandez,77,NEW,2013-12-03,148,16,695,43,43,30,16,9
255,AW00011254,Johnathan Vance,88,NEW,2013-12-14,148,2,204,102,102,9,9,1
256,AW00011255,Colin Lin,88,NEW,2013-03-31,157,2,114,57,57,5,5,1
257,AW00011256,Katelyn Hernandez,87,NEW,2013-10-16,150,2,81,40,40,5,5,6
258,AW00011257,Jacqueline Powell,NULL,VIP,2013-12-14,148,3,6676,2225,2225,6,6,28
259,AW00011258,Xavier Hill,88,NEW,2013-07-15,153,2,49,24,24,4,4,2
260,AW00011259,Victoria Stewart,56,VIP,2013-12-20,148,3,6770,2256,2256,5,5,27
261,AW00011260,Katelyn Kelly,50,NEW,2013-06-23,154,2,81,40,40,5,5,4
262,AW00011261,Stephanie Collins,56,VIP,2013-12-23,148,3,6650,2216,2216,4,4,27
263,AW00011262,Jennifer Simmons,51,NEW,2014-01-22,147,27,1124,41,41,63,26,11
264,AW00011263,Trinity Richardson,56,VIP,2013-12-10,148,3,6753,2251,2251,9,9,28
265,AW00011264,Eduardo Martin,57,NEW,2013-11-30,149,2,3182,1591,1591,8,8,10
266,AW00011265,Elizabeth Jones,56,NEW,2013-01-03,159,1,2352,2352,2352,3,3,0
267,AW00011266,Taylor Howard,57,VIP,2013-01-20,159,2,5922,2961,2961,5,5,16
268,AW00011267,David Diaz,51,VIP,2013-01-07,159,2,5943,2971,2971,5,5,16
269,AW00011268,Katelyn Carter,57,NEW,2013-11-16,149,2,98,49,49,5,5,6
270,AW00011269,Ryan Foster,51,NEW,2013-09-10,151,2,42,21,21,3,3,1
271,AW00011270,Robert Lee,51,VIP,2013-01-07,159,2,5984,2992,2992,5,5,16
272,AW00011271,Danielle Reed,57,VIP,2013-01-22,159,2,5973,2986,2986,5,5,16
273,AW00011272,Lauren Martinez,64,VIP,2013-01-13,159,2,5975,2987,2987,4,4,16
274,AW00011273,Nathan Lal,64,NEW,2013-05-23,155,2,273,136,273,8,8,0
275,AW00011274,Kyle Foster,87,VIP,2013-02-24,158,2,5888,2944,2944,4,4,18
276,AW00011275,Jenny Rai,87,VIP,2013-01-12,159,2,5955,2977,2977,4,4,17
277,AW00011276,Nancy Chapman,52,REGULAR,2014-01-22,147,27,987,36,36,57,22,12
278,AW00011277,Charles Jackson,58,NEW,2014-01-16,147,27,1434,53,53,65,26,11
279,AW00011278,Jonathan Phillips,57,VIP,2013-01-03,159,2,5908,2954,2954,3,3,16
280,AW00011279,Amanda Cook,52,NEW,2013-06-22,154,2,44,22,22,4,3,3
281,AW00011280,Robert Collins,57,NEW,2013-08-08,152,2,77,38,38,4,4,1
282,AW00011281,Megan Barnes,52,VIP,2013-01-11,159,2,5921,2960,2960,5,5,16
283,AW00011282,Christian Thomas,59,VIP,2013-01-02,159,2,5999,2999,2999,6,6,17
284,AW00011283,Arturo Lal,58,NEW,2013-08-28,152,2,44,22,22,4,3,3
285,AW00011284,Theresa Serrano,59,NEW,2013-05-02,155,2,55,27,27,5,3,3
286,AW00011285,Jeremy Anderson,53,NEW,2013-10-26,150,2,128,64,64,5,5,3
287,AW00011286,Hunter Griffin,59,VIP,2013-01-20,159,2,5954,2977,2977,5,5,16
288,AW00011287,Henry Garcia,60,REGULAR,2014-01-28,147,27,1165,43,43,62,23,12
289,AW00011288,Cindy Sanchez,48,NEW,2013-08-21,152,2,77,38,38,4,4,5
290,AW00011289,Maria Carter,54,VIP,2013-01-16,159,2,5905,2952,2952,5,5,16
291,AW00011290,Katelyn Sanchez,54,VIP,2013-01-27,159,2,5933,2966,2966,3,3,16
292,AW00011291,Jenna Wright,54,VIP,2013-01-19,159,2,5873,2936,2936,2,2,16
293,AW00011292,Seth Phillips,59,VIP,2012-12-31,160,2,5910,2955,2955,5,5,15
294,AW00011293,Luke Long,66,NEW,2013-03-15,157,2,85,42,42,5,5,1
